"","time","value"
"1867",1.00999999046326,114
"1868",1.00999999046326,113
"1869",1.00999999046326,114
"1870",1.00999999046326,113
"1871",1.00999999046326,112
"1872",1.00999999046326,113
"1873",1.00999999046326,114
"1874",1.00999999046326,114
"1875",1.00999999046326,113
"1876",1.00999999046326,112
"1877",1.00999999046326,112
"1878",1.00999999046326,112
"1879",1.00999999046326,112
"1880",1.00999999046326,111
"1881",1.00999999046326,110
"1882",1.00999999046326,111
"1883",1.00999999046326,110
"1885",1.00999999046326,110
"1886",1.01999998092651,109
"1887",1.01999998092651,110
"1888",1.01999998092651,111
"1889",1.01999998092651,111
"1890",1.01999998092651,112
"1891",1.01999998092651,113
"1892",1.01999998092651,112
"1893",1.01999998092651,113
"1894",1.01999998092651,110
"1895",1.01999998092651,113
"1896",1.01999998092651,113
"1897",1.01999998092651,116
"1898",1.01999998092651,116
"1899",1.01999998092651,116
"1900",1.01999998092651,116
"1901",1.01999998092651,117
"1902",1.01999998092651,115
"1903",1.01999998092651,117
"1904",1.01999998092651,118
"1905",1.02999997138977,115
"1906",1.02999997138977,117
"1907",1.02999997138977,116
"1908",1.02999997138977,117
"1909",1.02999997138977,117
"1910",1.02999997138977,117
"1911",1.02999997138977,116
"1912",1.02999997138977,116
"1913",1.02999997138977,115
"1914",1.02999997138977,114
"1915",1.02999997138977,115
"1916",1.02999997138977,112
"1917",1.02999997138977,112
"1918",1.02999997138977,113
"1919",1.02999997138977,112
"1920",1.02999997138977,112
"1921",1.02999997138977,111
"1922",1.02999997138977,113
"1923",1.02999997138977,111
"1924",1.03999996185303,113
"1925",1.03999996185303,111
"1926",1.03999996185303,112
"1927",1.03999996185303,112
"1928",1.03999996185303,111
"1929",1.03999996185303,114
"1930",1.03999996185303,112
"1931",1.03999996185303,112
"1932",1.03999996185303,113
"1933",1.03999996185303,114
"1934",1.03999996185303,115
"1935",1.03999996185303,115
"1936",1.03999996185303,115
"1937",1.03999996185303,117
"1938",1.03999996185303,115
"1939",1.03999996185303,116
"1940",1.03999996185303,114
"1941",1.03999996185303,117
"1942",1.04999995231628,115
"1943",1.04999995231628,116
"1944",1.04999995231628,118
